ARK	TYPE	VALUE	SOURCE
21198/zz0008zgkr	typeOfResource	text	MODS
21198/zz000902qw	typeOfResource	text	MODS
21198/zz0008z9qd	typeOfResource	text	MODS
21198/zz0008z9rx	typeOfResource	text	MODS
21198/zz0008zk92	typeOfResource	text	MODS
21198/zz0008znbj	typeOfResource	text	MODS
21198/zz0008ztw7	typeOfResource	text	MODS
21198/zz0008zv6c	typeOfResource	text	MODS
21198/zz0008zvh1	typeOfResource	text	MODS
21198/zz0008zvwq	typeOfResource	text	MODS
21198/zz0008zw4t	typeOfResource	text	MODS
21198/zz0008zw8w	typeOfResource	text	MODS
